track,artist,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
All Too Well (Taylor's Version),Taylor Swift,3nsfB1vus2qaloUdcBZvDu,0.44,0.528,0,-7.809,1,0.0317,0.0171,0.00203,0.234,0.132,185.972
22 (Taylor's Version),Taylor Swift,3yII7UwgLF6K5zW3xad3MP,0.642,0.695,7,-5.62,1,0.0281,0.000443,1.02e-05,0.0753,0.642,103.984
I Almost Do (Taylor's Version),Taylor Swift,2r9CbjYgFhtAmcFv1cSquB,0.511,0.559,4,-6.587,1,0.0264,0.0167,0.0,0.113,0.248,145.88
We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift,5YqltLsjdqFtvqE7Nrysvs,0.567,0.686,7,-6.139,1,0.175,0.0317,1.86e-06,0.0732,0.716,172.014
Stay Stay Stay (Taylor's Version),Taylor Swift,7eQj6r5PIdYKEIZjucBMcq,0.693,0.681,0,-7.039,1,0.025,0.0848,0.0,0.0768,0.663,100.02
The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),Taylor Swift,0y6kdSRCVQhSsHSpWvTUm7,0.502,0.534,2,-5.954,1,0.0278,0.0399,0.0,0.0977,0.155,94.05
Holy Ground (Taylor's Version),Taylor Swift,7J4b3LVCIGO4CMBDFLPoP6,0.622,0.809,9,-5.623,1,0.0638,0.0288,0.00218,0.109,0.511,156.894
Sad Beautiful Tragic (Taylor's Version),Taylor Swift,73qMN9bXy7MSPwwGfH3wQr,0.601,0.406,7,-11.827,1,0.0275,0.622,9.19e-05,0.133,0.232,130.059
The Lucky One (Taylor's Version),Taylor Swift,4e5ayHsOLJNLTGfjau2mEw,0.686,0.571,4,-7.138,1,0.05,0.066,0.0,0.0608,0.538,117.889
Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),Taylor Swift,7qEUFOVcxRI19tbT68JcYK,0.498,0.61,6,-5.098,1,0.0363,0.271,0.0,0.223,0.474,79.918
Starlight (Taylor's Version),Taylor Swift,7A2cNLRT0YJc1yjxHlKihs,0.628,0.685,4,-5.864,1,0.0358,0.00324,0.0,0.18,0.605,126.014
Begin Again (Taylor's Version),Taylor Swift,05GsNucq8Bngd9fnd4fRa0,0.519,0.527,7,-7.673,1,0.0274,0.075,0.0,0.132,0.267,78.915
The Moment I Knew (Taylor's Version),Taylor Swift,0NRHj8hDwwmSPaA41o379r,0.636,0.402,7,-7.855,1,0.031,0.0494,0.0,0.107,0.208,125.952
Come Back...Be Here (Taylor's Version),Taylor Swift,4pNApnaUWAL2J4KO2eqokq,0.46,0.632,4,-6.031,1,0.0302,0.0158,0.0,0.0822,0.399,79.846
Girl At Home (Taylor's Version),Taylor Swift,0DMVrlMUn01M0IcpDbwgu7,0.691,0.736,5,-6.974,1,0.0326,0.00955,1.88e-05,0.101,0.612,125.089
State Of Grace (Acoustic Version) (Taylor's Version),Taylor Swift,5jAIouBES8LWMiriuNq170,0.445,0.131,7,-13.778,1,0.0564,0.663,1.57e-06,0.108,0.101,208.918
Ronan (Taylor's Version),Taylor Swift,7nWui6jiMM2m9qFmET1Mtj,0.623,0.279,0,-10.802,1,0.031,0.661,0.0,0.193,0.38,116.04
Better Man (Taylor's Version) (From The Vault),Taylor Swift,4OmFmE0fzcMG6g0Y8p4eSD,0.473,0.579,4,-5.824,1,0.0384,0.214,0.0,0.0877,0.255,73.942
